"groupId","catalogId","status","reviewAction","candidateCount","profileCount","profiles","providers","confidenceLevels","highestReviewConfidenceScore","deferredFromNextBatch","makam","form","usul","title","composer","priorityGroup","decisionReason","decisionReviewedAt","decisionReviewedBy"
"acemasiran--pesrev--duyek--son_pesrev--huseyin_fahreddin_dede:review-group","acemasiran--pesrev--duyek--son_pesrev--huseyin_fahreddin_dede","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Pesrev","Duyek","Son Pesrev","Huseyin Fahreddin Dede","pdf-and-musicxml","","",""
"acemasiran--sarki--agiraksak--bir_haber--bimen_sen:review-group","acemasiran--sarki--agiraksak--bir_haber--bimen_sen","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Agiraksak","Bir Haber","Bimen Sen","pdf-and-musicxml","","",""
"acemasiran--sarki--agiraksak--bir_teselli--serif_icli:review-group","acemasiran--sarki--agiraksak--bir_teselli--serif_icli","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Agiraksak","Bir Teselli","Serif İcli","pdf-and-musicxml","","",""
"acemasiran--sarki--agiraksak--goncasindan_gulsenin--emin_ongan:review-group","acemasiran--sarki--agiraksak--goncasindan_gulsenin--emin_ongan","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Agiraksak","Goncasindan Gulsenin","Emin Ongan","pdf-and-musicxml","","",""
"acemasiran--sarki--agiraksak--mahveder_her--neyzen_riza_bey:review-group","acemasiran--sarki--agiraksak--mahveder_her--neyzen_riza_bey","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Agiraksak","Mahveder Her","Neyzen Riza Bey","pdf-and-musicxml","","",""
"acemasiran--sarki--agiraksak--ne_kadar--artaki_candan:review-group","acemasiran--sarki--agiraksak--ne_kadar--artaki_candan","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Agiraksak","Ne Kadar","Artaki Candan","pdf-and-musicxml","","",""
"acemasiran--sarki--agirduyek--kime_halim--faize_ergin:review-group","acemasiran--sarki--agirduyek--kime_halim--faize_ergin","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Agirduyek","Kime Halim","Faize Ergin","pdf-and-musicxml","","",""
"acemasiran--sarki--aksak--dinle_sozum--iii_selim:review-group","acemasiran--sarki--aksak--dinle_sozum--iii_selim","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Aksak","Dinle Sozum","İii Selim","pdf-and-musicxml","","",""
"acemasiran--sarki--aksak--dustum_bir--ali_riza_avni_tinaz:review-group","acemasiran--sarki--aksak--dustum_bir--ali_riza_avni_tinaz","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Aksak","Dustum Bir","Ali Riza Avni Tinaz","pdf-and-musicxml","","",""
"acemasiran--sarki--aksak--gonlum_dusuyor--ismail_baha_surelsan:review-group","acemasiran--sarki--aksak--gonlum_dusuyor--ismail_baha_surelsan","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Aksak","Gonlum Dusuyor","İsmail Baha Surelsan","pdf-and-musicxml","","",""
"acemasiran--sarki--aksak--gordum_seni--irfan_dogrusoz:review-group","acemasiran--sarki--aksak--gordum_seni--irfan_dogrusoz","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Aksak","Gordum Seni","İrfan Dogrusoz","pdf-and-musicxml","","",""
"acemasiran--sarki--aksak--lutfeyle_meded--dede_efendi:review-group","acemasiran--sarki--aksak--lutfeyle_meded--dede_efendi","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Aksak","Lutfeyle Meded","Dede Efendi","pdf-and-musicxml","","",""
"acemasiran--sarki--aksak--o_tebessum--ismail_baha_surelsan:review-group","acemasiran--sarki--aksak--o_tebessum--ismail_baha_surelsan","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Aksak","O Tebessum","İsmail Baha Surelsan","pdf-and-musicxml","","",""
"acemasiran--sarki--aksak--oldu_gonul--dede_efendi:review-group","acemasiran--sarki--aksak--oldu_gonul--dede_efendi","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Aksak","Oldu Gonul","Dede Efendi","pdf-and-musicxml","","",""
"acemasiran--sarki--aksak--yanar_sinem--ismet_aga:review-group","acemasiran--sarki--aksak--yanar_sinem--ismet_aga","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Aksak","Yanar Sinem","İsmet Aga","pdf-and-musicxml","","",""
"acemasiran--sarki--curcuna--ates-i_askinla--emin_ongan:review-group","acemasiran--sarki--curcuna--ates-i_askinla--emin_ongan","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Curcuna","Ates İ Askinla","Emin Ongan","pdf-and-musicxml","","",""
"acemasiran--sarki--curcuna--dilde_derd-i--nuri_halil_poyraz:review-group","acemasiran--sarki--curcuna--dilde_derd-i--nuri_halil_poyraz","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Curcuna","Dilde Derd İ","Nuri Halil Poyraz","pdf-and-musicxml","","",""
"acemasiran--sarki--curcuna--gam_cekme_guzel--arif_sami_toker:review-group","acemasiran--sarki--curcuna--gam_cekme_guzel--arif_sami_toker","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Curcuna","Gam Cekme Guzel","Arif Sami Toker","pdf-and-musicxml","","",""
"acemasiran--sarki--curcuna--neden_kalbim--nasibin_mehmet_yuru:review-group","acemasiran--sarki--curcuna--neden_kalbim--nasibin_mehmet_yuru","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Curcuna","Neden Kalbim","Nasibin Mehmet Yuru","pdf-and-musicxml","","",""
"acemasiran--sarki--devrihindi--ey_gul-i_rana--neveser_kokdes:review-group","acemasiran--sarki--devrihindi--ey_gul-i_rana--neveser_kokdes","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Devrihindi","Ey Gul İ Rana","Neveser Kokdes","pdf-and-musicxml","","",""
"acemasiran--sarki--devrihindi--neseyab_ol--ahmet_mukerrem_akinci:review-group","acemasiran--sarki--devrihindi--neseyab_ol--ahmet_mukerrem_akinci","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Devrihindi","Neseyab Ol","Ahmet Mukerrem Akinci","pdf-and-musicxml","","",""
"acemasiran--sarki--devrihindi--ruy-i_alemdir--dellalzade_haci_ismail_efendi:review-group","acemasiran--sarki--devrihindi--ruy-i_alemdir--dellalzade_haci_ismail_efendi","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Devrihindi","Ruy İ Alemdir","Dellalzade Haci İsmail Efendi","pdf-and-musicxml","","",""
"acemasiran--sarki--duyek--bu_hal--sadettin_kaynak:review-group","acemasiran--sarki--duyek--bu_hal--sadettin_kaynak","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Duyek","Bu Hal","Sadettin Kaynak","pdf-and-musicxml","","",""
"acemasiran--sarki--duyek--bulutlar_kokunu--sadettin_kaynak:review-group","acemasiran--sarki--duyek--bulutlar_kokunu--sadettin_kaynak","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Duyek","Bulutlar Kokunu","Sadettin Kaynak","pdf-and-musicxml","","",""
"acemasiran--sarki--duyek--gonul_seni--sadettin_kaynak:review-group","acemasiran--sarki--duyek--gonul_seni--sadettin_kaynak","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Duyek","Gonul Seni","Sadettin Kaynak","pdf-and-musicxml","","",""
"acemasiran--sarki--duyek--pence-i_gamdan--misirli_udi_ibrahim_efendi:review-group","acemasiran--sarki--duyek--pence-i_gamdan--misirli_udi_ibrahim_efendi","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Duyek","Pence İ Gamdan","Misirli Udi İbrahim Efendi","pdf-and-musicxml","","",""
"acemasiran--sarki--duyek--ruhumda_derin--kemal_gurses:review-group","acemasiran--sarki--duyek--ruhumda_derin--kemal_gurses","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Duyek","Ruhumda Derin","Kemal Gurses","pdf-and-musicxml","","",""
"acemasiran--sarki--duyek--sim-ten_gonca--sakir_aga:review-group","acemasiran--sarki--duyek--sim-ten_gonca--sakir_aga","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Duyek","Sim Ten Gonca","Sakir Aga","pdf-and-musicxml","","",""
"acemasiran--sarki--raksaksagi--bana_tavr-i--sakir_aga:review-group","acemasiran--sarki--raksaksagi--bana_tavr-i--sakir_aga","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Raksaksagi","Bana Tavr İ","Sakir Aga","pdf-and-musicxml","","",""
"acemasiran--sarki--semai--bitmesin_icimdeki--omer_dilek:review-group","acemasiran--sarki--semai--bitmesin_icimdeki--omer_dilek","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Semai","Bitmesin İcimdeki","Omer Dilek","pdf-and-musicxml","","",""
"acemasiran--sarki--semai--ey_cesm-i--nikogos_aga:review-group","acemasiran--sarki--semai--ey_cesm-i--nikogos_aga","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Semai","Ey Cesm İ","Nikogos Aga","pdf-and-musicxml","","",""
"acemasiran--sarki--semai--sorma_dostum--nuri_halil_poyraz:review-group","acemasiran--sarki--semai--sorma_dostum--nuri_halil_poyraz","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Semai","Sorma Dostum","Nuri Halil Poyraz","pdf-and-musicxml","","",""
"acemasiran--sarki--semai--yagmur_ol--amir_ates:review-group","acemasiran--sarki--semai--yagmur_ol--amir_ates","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Semai","Yagmur Ol","Amir Ates","pdf-and-musicxml","","",""
"acemasiran--sarki--senginsemai--canan_okuyor--ali_riza_avni_tinaz:review-group","acemasiran--sarki--senginsemai--canan_okuyor--ali_riza_avni_tinaz","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Senginsemai","Canan Okuyor","Ali Riza Avni Tinaz","pdf-and-musicxml","","",""
"acemasiran--sarki--senginsemai--zehrolsa_bile--bimen_sen:review-group","acemasiran--sarki--senginsemai--zehrolsa_bile--bimen_sen","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Senginsemai","Zehrolsa Bile","Bimen Sen","pdf-and-musicxml","","",""
"acemasiran--sarki--sofyan--bakma_sakin--sakir_aga:review-group","acemasiran--sarki--sofyan--bakma_sakin--sakir_aga","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Sofyan","Bakma Sakin","Sakir Aga","pdf-and-musicxml","","",""
"acemasiran--sarki--sofyan--gonul_sana--sadettin_kaynak:review-group","acemasiran--sarki--sofyan--gonul_sana--sadettin_kaynak","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Sofyan","Gonul Sana","Sadettin Kaynak","pdf-and-musicxml","","",""
"acemasiran--sarki--sofyan--nideyim_bilmem--sadettin_kaynak:review-group","acemasiran--sarki--sofyan--nideyim_bilmem--sadettin_kaynak","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Sofyan","Nideyim Bilmem","Sadettin Kaynak","pdf-and-musicxml","","",""
"acemasiran--sarki--yuruksemai--gel_ey_denizin--aleko_bacanos:review-group","acemasiran--sarki--yuruksemai--gel_ey_denizin--aleko_bacanos","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Sarki","Yuruksemai","Gel Ey Denizin","Aleko Bacanos","pdf-and-musicxml","","",""
"acemasiran--selam--agirduyek--her_ruz--huseyin_fahreddin_dede:review-group","acemasiran--selam--agirduyek--her_ruz--huseyin_fahreddin_dede","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Selam","Agirduyek","Her Ruz","Huseyin Fahreddin Dede","pdf-and-musicxml","","",""
"acemasiran--selam--mevlevievferi--bi_dil--huseyin_fahreddin_dede:review-group","acemasiran--selam--mevlevievferi--bi_dil--huseyin_fahreddin_dede","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Selam","Mevlevievferi","Bi Dil","Huseyin Fahreddin Dede","pdf-and-musicxml","","",""
"acemasiran--selam--mevlevievferi--sultan-i_meni--huseyin_fahreddin_dede:review-group","acemasiran--selam--mevlevievferi--sultan-i_meni--huseyin_fahreddin_dede","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Selam","Mevlevievferi","Sultan İ Meni","Huseyin Fahreddin Dede","pdf-and-musicxml","","",""
"acemasiran--seyir--semai--1--rauf_yekta:review-group","acemasiran--seyir--semai--1--rauf_yekta","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Seyir","Semai","1","Rauf Yekta","pdf-and-musicxml","","",""
"acemasiran--seyir--sofyan--1--erol_bingol:review-group","acemasiran--seyir--sofyan--1--erol_bingol","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Seyir","Sofyan","1","Erol Bingol","pdf-and-musicxml","","",""
"acemasiran--seyir--sofyan--1--sefik_gurmeric:review-group","acemasiran--seyir--sofyan--1--sefik_gurmeric","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Seyir","Sofyan","1","Sefik Gurmeric","pdf-and-musicxml","","",""
"acemasiran--yuruksemai--yuruksemai--bileydi_dil--itri:review-group","acemasiran--yuruksemai--yuruksemai--bileydi_dil--itri","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Yuruksemai","Yuruksemai","Bileydi Dil","İtri","pdf-and-musicxml","","",""
"acemasiran--zeybek--agiraksak--su_izmirin--tahsin_karakus:review-group","acemasiran--zeybek--agiraksak--su_izmirin--tahsin_karakus","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemasiran","Zeybek","Agiraksak","Su İzmirin","Tahsin Karakus","pdf-and-musicxml","","",""
"acembuselik--kupe--agiraksak--istedik--ahmet_avni_konuk:review-group","acembuselik--kupe--agiraksak--istedik--ahmet_avni_konuk","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acembuselik","Kupe","Agiraksak","İstedik","Ahmet Avni Konuk","pdf-and-musicxml","","",""
"acembuselik--sarki--aksak--coktan_idim--kemenceci_usta_yani:review-group","acembuselik--sarki--aksak--coktan_idim--kemenceci_usta_yani","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acembuselik","Sarki","Aksak","Coktan İdim","Kemenceci Usta Yani","pdf-and-musicxml","","",""
"acemkurdi--agirsemai--agir_aksaksemai--dur_etme--osep_aga:review-group","acemkurdi--agirsemai--agir_aksaksemai--dur_etme--osep_aga","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemkurdi","Agirsemai","Agir Aksaksemai","Dur Etme","Osep Aga","pdf-and-musicxml","","",""
"acemkurdi--fantezi--nimsofyan--askin_kanununu--sadettin_oktenay:review-group","acemkurdi--fantezi--nimsofyan--askin_kanununu--sadettin_oktenay","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemkurdi","Fantezi","Nimsofyan","Askin Kanununu","Sadettin Oktenay","pdf-and-musicxml","","",""
"acemkurdi--fantezi--semai--son_verelim--sekip_ayhan_ozisik:review-group","acemkurdi--fantezi--semai--son_verelim--sekip_ayhan_ozisik","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemkurdi","Fantezi","Semai","Son Verelim","Sekip Ayhan Ozisik","pdf-and-musicxml","","",""
"acemkurdi--fantezi--sofyan--sana_oyle--alaaddin_pakyuz:review-group","acemkurdi--fantezi--sofyan--sana_oyle--alaaddin_pakyuz","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemkurdi","Fantezi","Sofyan","Sana Oyle","Alaaddin Pakyuz","pdf-and-musicxml","","",""
"acemkurdi--kupe--musemmen--bezmimizde--ahmet_avni_konuk:review-group","acemkurdi--kupe--musemmen--bezmimizde--ahmet_avni_konuk","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemkurdi","Kupe","Musemmen","Bezmimizde","Ahmet Avni Konuk","pdf-and-musicxml","","",""
"acemkurdi--nakis--yuruksemai--gonlum_yine--muallim_ismail_hakki_bey:review-group","acemkurdi--nakis--yuruksemai--gonlum_yine--muallim_ismail_hakki_bey","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemkurdi","Nakis","Yuruksemai","Gonlum Yine","Muallim İsmail Hakki Bey","pdf-and-musicxml","","",""
"acemkurdi--sarki--agiraksak--sevdi_gonlum--nikogos_aga:review-group","acemkurdi--sarki--agiraksak--sevdi_gonlum--nikogos_aga","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemkurdi","Sarki","Agiraksak","Sevdi Gonlum","Nikogos Aga","pdf-and-musicxml","","",""
"acemkurdi--sarki--aksak--altin_tasta--nimet_hanim:review-group","acemkurdi--sarki--aksak--altin_tasta--nimet_hanim","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemkurdi","Sarki","Aksak","Altin Tasta","Nimet Hanim","pdf-and-musicxml","","",""
"acemkurdi--sarki--aksak--beyhude_yere--ercument_berker:review-group","acemkurdi--sarki--aksak--beyhude_yere--ercument_berker","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemkurdi","Sarki","Aksak","Beyhude Yere","Ercument Berker","pdf-and-musicxml","","",""
"acemkurdi--sarki--aksak--hatay--cevdet_cagla:review-group","acemkurdi--sarki--aksak--hatay--cevdet_cagla","needs-review","review-provider-candidates","5","5","divanmakam|internet-archive|ogm-materyal|salihbora|youtube","archive|score|youtube","low|medium","94","false","Acemkurdi","Sarki","Aksak","Hatay","Cevdet Cagla","pdf-and-musicxml","","",""
